Repetition,1,2,3,4,5
1,90.76,78.66,87.96,66.31,95.63
2,91.7,84.52,80.01,94.74,79.28
3,86.69,83.41,90.34,83.33,97.73
4,89.59,87.09,90.4,84.6,91.67
5,83.74,82.19,90.4,100,80.9
6,86.01,84.71,82.23,83.88,89.01
7,84.9,91.45,80.62,85.06,86.67
8,89.45,85.93,92.02,70.08,84.52
9,84.99,85.33,90.45,89.18,100
10,91.18,84.05,82.66,77.78,88.83
11,84.27,81.14,77.45,66.59,95.73
12,88.34,83.23,93.34,77.89,96.17
13,86.83,86.19,80.79,100,79.55
14,92.03,86.15,70.59,97.09,91.87
15,92.98,94.21,87.73,84.25,81.64
16,88.3,68.18,92.74,81.16,88.01
17,89.04,76.2,93.3,84.18,67.04
18,93.31,91.67,82.23,77.3,98.17
19,89.09,83.58,91.71,88.89,94.85
20,94.6,80.4,89.33,94.3,83.93
21,94.18,69,89.89,97.15,87.68
22,92.69,84.5,80.62,98.42,98.69
23,94.45,87.85,86.69,100,90.31
24,92.22,94.01,93.35,73.53,79.32
25,82.85,84.24,81.6,67.04,90.17
26,91.57,93.84,78.68,97.93,94.74
27,89.52,93.31,80.62,66.07,95.24
28,88.32,86,85.1,61.7,90.65
29,89.26,88.97,76.71,69.13,95.09
30,90.21,88.78,79.89,93.29,83.35
31,91.71,88.19,90.07,67.4,84.69
32,91.73,94.79,87.58,78.02,91.67
33,94.5,78.38,90.4,89.36,94.33
34,90.49,91.54,92.02,85,59.54
35,92.67,92.96,92.74,65.87,91.33
36,85.59,93.33,88.34,100,99.64
37,87.94,92.7,89.1,78.02,84.95
38,91.87,83.73,95.59,98.33,89.01
39,81.62,78.22,87.93,100,88.89
40,89.44,78.62,90.07,99.28,95.25
average,89.51575,85.53125,86.58225,84.30375,88.8935
